genepairs,label,Query_single_mutant_fitness_(SMF),Array_SMF,Double_mutant_fitness
nde1_ade1,0,0.9905,1.0050000000000001,1.0061
nde1_nde2,1,0.9905,1.0070000000000001,0.9893000000000001
nde1_sdh4,1,0.9905,0.989,0.9530000000000001
nde1_ade8,0,0.9905,1.0593000000000001,1.0159
nde1_fab1,0,0.9905,0.979,0.9695
nde1_ade6,0,0.9905,1.0137,0.9474
nde1_ynk1,0,0.9905,1.0157,0.9813000000000001
nde1_sdh1,1,0.9905,0.9647,0.9002
nde1_sac1,0,0.9905,0.514,0.5059
nde1_sdh2,1,0.9905,0.9805,0.9091
nde1_ade16,0,0.9905,1.0097,1.034
nde1_cox12,1,0.9905,0.772,0.7521
nde1_cox8,1,0.9905,0.9908,0.9977
nde1_cox7,1,0.9905,0.742,0.7475
nde1_ade4,0,0.9905,1.0368,1.0027000000000001
nde1_cox5a,1,0.9905,0.9410000000000001,0.9185000000000001
nde1_ade2,0,0.9905,0.98,0.9561000000000001
cox7_ade1,0,0.742,1.0050000000000001,0.7661
cox7_ade8,0,0.742,1.0593000000000001,0.7901
cox7_fab1,0,0.742,0.979,0.734
cox7_ade6,0,0.742,1.0137,0.7574000000000001
cox7_ynk1,0,0.742,1.0157,0.7459
cox7_sac1,0,0.742,0.514,0.4204
cox7_ade16,0,0.742,1.0097,0.7329
cox7_ade2,0,0.742,0.98,0.727
ade4_ade1,1,1.0368,1.0050000000000001,1.0809
ade4_ade8,1,1.0368,1.0593000000000001,1.087
ade4_ade6,1,1.0368,1.0137,1.0678
ade4_ynk1,1,1.0368,1.0157,1.0368
ade4_ade16,1,1.0368,1.0097,1.0369000000000002
ade4_ade2,1,1.0368,0.98,0.9713
cyt1_ade1,0,0.7435,1.0050000000000001,0.7454000000000001
cyt1_nde2,1,0.7435,1.0070000000000001,0.7182000000000001
cyt1_sdh4,1,0.7435,0.989,0.7403000000000001
cyt1_ade8,0,0.7435,1.0593000000000001,0.7774000000000001
cyt1_fab1,0,0.7435,0.979,0.6561
cyt1_ade6,0,0.7435,1.0137,0.7888000000000001
cyt1_ynk1,0,0.7435,1.0157,0.746
cyt1_sdh1,1,0.7435,0.9647,0.7111000000000001
cyt1_sac1,0,0.7435,0.514,0.3554
cyt1_sdh2,1,0.7435,0.9805,0.7637
cyt1_ade16,0,0.7435,1.0097,0.7397
cyt1_cox12,1,0.7435,0.772,0.6848000000000001
cyt1_cox8,1,0.7435,0.9908,0.7605000000000001
cyt1_ndi1,1,0.7435,1.0457,0.807
cyt1_ade17,0,0.7435,1.0050000000000001,0.722
cyt1_nde1,1,0.7435,0.9905,0.762
cyt1_cox7,1,0.7435,0.742,0.6233000000000001
cyt1_ade4,0,0.7435,1.0368,0.8246
cyt1_cox5a,1,0.7435,0.9410000000000001,0.7718
ade2_ade1,1,0.98,1.0050000000000001,1.045
ade2_ynk1,1,0.98,1.0157,0.9574
ade2_ade16,1,0.98,1.0097,0.9565
ade2_ade17,1,0.98,1.0050000000000001,0.9665
qcr2_ade1,0,0.751,1.0050000000000001,0.7224
qcr2_nde2,1,0.751,1.0070000000000001,0.7242000000000001
qcr2_sdh4,1,0.751,0.989,0.737
qcr2_ade8,0,0.751,1.0593000000000001,0.8180000000000001
qcr2_fab1,0,0.751,0.979,0.7429
qcr2_ynk1,0,0.751,1.0157,0.7392000000000001
qcr2_sdh1,1,0.751,0.9647,0.6779000000000001
qcr2_sac1,0,0.751,0.514,0.3699
qcr2_sdh2,1,0.751,0.9805,0.7217
qcr2_ade16,0,0.751,1.0097,0.8736
qcr2_cox12,1,0.751,0.772,0.6557000000000001
qcr2_cox8,1,0.751,0.9908,0.7625000000000001
